id,title,content,question,answer
1,capillarité,"Cet article  ne cite pas suffisamment ses sources   ( mai 2013 ).  Si vous disposez d'ouvrages ou d'articles de référence ou si vous connaissez des sites web de qualité traitant du thème abordé ici, merci de compléter l'article en donnant les  références utiles à sa  vérifiabilité  et en les liant à la section « Notes et références ». En pratique:   Quelles sources sont attendues?   Comment ajouter mes sources?  La  capillarité  est le phénomène d'interaction qui se produit aux interfaces entre deux liquides non  miscibles , entre un liquide et l' air  ou entre un  liquide  et une surface. Elle est due aux forces de  tension superficielle  entre les différentes phases en présence. ",Quelle force de tension se produit sur la capillarité ?,forces de  tension superficielle
2,félidés,"Félidés •  Félins «Félin» redirige ici. Pour les autres significations, voir  Félin (homonymie) . Pour l’article homonyme, voir  Felidae (film) . Famille Sous-familles  de rang inférieur Les  Félidés  ( Felidae ) ou   Félins  sont une  famille  de  mammifères   placentaires  de l'ordre des  carnivores  et du sous-ordre des  féliformes . Si on exclut le  taxon  fossile des  Proailurinae , qui ne possède qu'un seul et unique  genre  connu, on y  distingue trois  sous-familles : les «petits félins» ( Felinae ), les «grands félins» ( Pantherinae ) et les félins dit «à dents de sabre» ( Machairodontinae ),  aujourd'hui éteints .Parmi leurs traits caractéristiques figurent leur  tête  ronde au crâne raccourci, leur  mâchoire  dotée d’environ trente  dents , et leurs  griffes  rétractiles, exception faite du  chat viverrin  et du  chat à tête plate  (semi-rétractiles) et du  guépard  (non rétractiles). Les félins sont  digitigrades , c’est-à-dire qu’ils marchent en appuyant sur leurs doigts (la plante du pied ne se pose pas sur le sol). Proailurus , qui vivait en  Eurasie  il y a environ 25millions d’années dans la période de l’ Oligocène , est à l'heure actuelle considéré comme le plus vieux fossile de félidé. On considère  Pseudaelurus  comme le dernier ancêtre commun des félins modernes.",Quel est le denier encêtre commun des félins modernes ?,Pseudaelurus
3,sourire,"Pour les articles homonymes, voir  Sourire (homonymie) . Le  sourire  est une expression du visage témoignant en général de la sympathie. Le mot sourire est apparu au Moyen Âge, issu du verbe latin  sub-ridere  qui signifie prendre une expression rieuse ou ironique, destiné à tromper, mais le sens se rapproche plus du mot latin  risus  qui appartient au vocabulaire du rire. Le sourire est une expression du  visage  qui se forme par la tension de muscles, plus particulièrement aux deux coins de la bouche, mais aussi autour des yeux [ 1 ] . Il exprime généralement le plaisir ou l'amusement, mais aussi l' ironie , et joue ainsi un rôle social important. Le  cerveau humain  serait capable d'isoler un sourire du reste du visage, ce qui se vérifie en observant une photo retournée verticalement où le sourire est, lui, resté dans le bon sens [ 1 ] . Le sourire est une attitude assimilée par renforcement comme positive, et cela dès la naissance, mais il est considéré comme inné et  génétiquement  déterminé, puisqu’il apparaît chez des  enfants   sourds  et  aveugles  de naissance.",Que témoigne le sourire ?,la sympathie
4,races,"«Racial» redirige ici. Pour l’article homophone, voir  Rassial . Cet article concerne le concept de race en zoologie. Pour les articles homonymes, voir  race (homonymie) . Pour l'application du concept à l'espèce humaine, voir  race humaine . Chez les  animaux domestiques , la  race  est un  rang taxinomique  informel, inférieur à l' espèce . Les races et les  sous-races  sont distinguées à des fins d' élevage  et de  sélection . On parle ainsi de races  bovines ,  canines ,  félines , ou  caprines . Les  taxons  au rang de race n'ont pas de  noms scientifiques  internationaux [ 1 ] , leur circonscription  taxinomique  repose généralement sur des critères subjectifs et pratiques (notamment utilisés pour la désignation commerciale) [ 2 ] . Ces variations sont généralement très faibles pour les races sélectionnées afin de veiller à un certain standard, dont on exige par exemple des prestations particulières pour satisfaire de façon optimale à un but d'utilisation. Par contre, la variabilité peut être très importante entre races géographiques. Il s'agit d'un concept lié à l'aspect commercial davantage que scientifique. Cet article concerne plus particulièrement l'acception du mot «race» pour désigner des groupes d'une même espèce animale. En  nomenclature botanique et mycologique  où le terme de «race» n'est pas un rang taxinomique  codifié , on parle de  variété  ou de  sous-espèce [ 3 ] . Il reste cependant possible d'utiliser le mot de «variété animale» [ 4 ]  domestique pour désigner une population animale sélectionnée constituée d'une fraction des animaux d'une espèce que des traitements particuliers de sélection ont eu pour effet de distinguer des autres animaux de l'espèce par un petit nombre de caractères dont l'énumération définit le modèle. En  microbiologie  et en  virologie , on parle plutôt de  souche  afin de désigner au sein d'une même espèce microbienne, une population divergeant du reste de l'espèce sur un ou quelques traits différentiels (ex.: une souche de  Escherichia coli  pathogène pour l'homme, alors que la majorité des populations de cette espèce ne le sont pas). Pour les espèces naturelles, les termes sous-espèce ou  population  (selon la divergence et le groupe considéré) sont utilisés [réf.nécessaire] . L'utilisation de critères biologiques prétendant définir différentes «races» humaines au sein de l' espèce humaine  soulève des questions  éthiques  et même logique (on ne vend pas aujourd'hui les hommes dans les pays développés et une désignation commerciale y est donc sans objet). Les controverses sur ce sujet ne sont pas développées ici mais dans l'article  Race humaine .",Que désigne le mot «race» ? ,des groupes d'une même espèce animale
5,toilette,"Pour les toiletteurs, voir  Toiletteur . Le  toilettage  chez les animaux est une activité instinctive et pour partie parfois apprise et transmises aux générations suivantes (utilisation d'eau chaude, de terre, de feuilles ou de poussière par exemple). Certaines espèces, aussi différentes que la  poule  ou l' éléphant  s'aspergent d'eau ou de poussière pour se nettoyer ou débarrasser de leurs  parasites . Un toilettage particulier peut suivre l'alimentation (nettoyage du sang, de la terre, de la  sève  ou de jus issus des aliments) ou des combats. Pour l'épouillage humain, voir  Pédiculose du cuir chevelu  et  Pédiculose corporelle . C’est en 1850 qu’est apparue la tondeuse pour chien; elle servait alors à une cause utilitaire. Par exemple, les chiens de rapport à l’eau se voyaient tondre une bonne partie du corps (dos, pattes arrière…) pour les alléger et faciliter leur nage. La fourrure était cependant laissée sur l’avant du corps pour que le chien ne prenne pas froid. C’est d’ailleurs de là que vient la coupe «lion» du caniche. Aujourd’hui, cette coupe a évolué pour allier utilité et esthétique, et l’on peut croiser de temps en temps un caniche en coupe lion continentale sous ses différentes variantes. Quelques années plus tard, en 1933, le premier Salon de Toilettage ouvre ses portes à Paris. Très vite, d’autres salons ouvrent partout ailleurs. Et doucement, la demande «utilitaire» évolue en demande de «mise en valeur». Les propriétaires veulent également que leur chien soit élégant. C’est ainsi que dans les années 1970, l’on commence à entendre parler de toilettage commercial, c’est-à-dire un toilettage qui allie praticité et beauté, sans pour autant être un toilettage d’exposition, tout à fait conforme au standard.",Quand est apparue la tondeuse pour chien ?,en 1850
6,clavicule,"Certaines informations figurant dans cet article ou cette section devraient être mieux reliées aux sources mentionnées dans les sections «Bibliographie», «Sources» ou «Liens externes»   ( août 2015 ).  Vous pouvez améliorer la  vérifiabilité  en  associant ces informations à des références  à l'aide d' appels de notes . modifier  -  modifier le code  -  modifier Wikidata La  clavicule  (du latin  clavicula , «petite clef») chez l'être humain est un  os long  pair faisant partie de la  ceinture scapulaire . C'est le seul os long en position horizontale.",Où se situe la clavicule ?,la  ceinture scapulaire
7,poisson,"Pour les articles homonymes, voir  Poisson (homonymie) . Taxons concernés Les  espèces  de la  classe   et de la  super-classe  Articles connexes L'étude des poissons modifier   Les  poissons  sont des  animaux   vertébrés   aquatiques  à  branchies , pourvus de  nageoires  et dont le corps est généralement couvert d' écailles . On les trouve abondamment aussi bien en  eau douce , en  eau saumâtre  et en  eau de mer , depuis les sources de montagne ( omble de fontaine ,  goujon ) jusqu'au plus profond des  océans  ( grandgousier ,  poisson-ogre ). Leur répartition est toutefois très inégale: 50% des poissons vivraient dans 17% de la surface des océans [ 1 ] . Les poissons ont une très grande importance pour les humains: Dans la  classification phylogénétique [ 2 ] , obtenue par application des méthodes  cladistiques , les poissons forment un groupe  paraphylétique  de  vertébrés , donc non reconnu, car il exclut les  tétrapodes  (vertébrés terrestres). La super-classe des Poissons (les Pisces) de la  classification classique  n'est reconnue que par certains  systématiciens évolutionnistes [ 3 ] . Les espèces actuelles (non éteintes) de poissons sont réparties dans quatre taxons: les  Pétromyzontides  (lamproies), les  Chondrichtyens  (raies, requins et chimères), les  Actinoptérygiens  (poissons les plus communs), les  Sarcoptérygiens  ( Dipneustes  et  Actinistiens ). On y associe parfois les  Myxinoïdes . Le premier  inventaire ichtyologique  de  France  semble être celui de  Pierre Belon , en 1555,  La nature et la diversité des poissons avec leurs pourtraicts représentés au plus près du naturel [ 4 ] .",Quel est la répartition des poissons dans l'océan ?,50% des poissons vivraient dans 17% de la surface des océans 
8,papilles,"En  biologie  et en  anatomie , une  papille  est une petite excroissance charnue, la plupart du temps formée par un  tissu épithélial . Le terme de  papille  rapproche donc des structures dont la forme générale est le seul point commun.",De quoi est composé une pupille ?,un tissu épithélial
9,animaux_de_compagnie,"Un  animal de compagnie  est un  animal  recevant la protection de l' espèce humaine  en échange de sa présence, de sa beauté, de sa jovialité ou encore pour ses talents (oiseaux chanteurs, parleurs…). En raison de leur très longue présence aux côtés de l'espèce humaine, ces animaux familiers ont souvent fait l'objet d'une  domestication  à la suite de leur  apprivoisement . Ils se distinguent toutefois des autres cas d' animaux domestiques  vivant simplement dans le voisinage de la maison, comme les animaux de travail, et par opposition aux animaux de production utilisés pour leur viande, leur lait ou leurs œufs, telles les  vaches  ou les  poules . Dans les pays occidentaux, les principaux animaux de compagnie sont le  chat  et le  chien  qui, avec le  furet , sont des animaux classés comme « carnivores domestiques » et donc soumis à une  législation  particulière. Depuis les  années 1980 [ 1 ] , on désigne sous le terme « nouveaux animaux de compagnie » (NAC) des espèces qui sont entrées après les  années 1970  dans le cercle des animaux de compagnie. Certains de ces animaux, comme le  furet , le  lapin , divers  rongeurs  ou animaux de ferme, étaient domestiqués depuis longtemps, mais destinés à un autre usage. D'autres espèces parfois incluses dans les NAC sont en réalité des animaux de compagnie déjà très anciens comme la  perruche à collier  et la  perruche alexandre . De plus cette catégorie, très imprécise, inclus souvent des espèces qui ne sont que des animaux d'agrément ou d'observation et qui ne sont pas véritablement utilisées comme animaux de compagnie, notamment parmi les  reptiles ,  poissons d'aquarium ,  oiseaux  de cage ou de basse-cour, etc. Une partie de ces espèces, très diverses, ne sont d'ailleurs pas domestiquées puisqu'encore souvent prélevées directement dans la nature. La réglementation diffère d'un pays à l'autre, notamment pour les conditions d'acquisition, de détention, d'importation et d'exportation.",Qu'est ce qui est attendu d'un animal de compagnie ?,"sa présence, de sa beauté, de sa jovialité ou encore pour ses talents"
10,miaulement," Le  miaulement  est une vocalisation émise par les  félins  et notamment les  félinés . La transcription en  onomatopée  est  miaou  en français, et est similaire dans de nombreuses langues européennes et le  mandarin .",Quel est l'onomatopée du miaulement en français ?,miaou
